background,x,s,tail_count,short_common_mu_extrapolated_count,full_range_fit_count
REL607,0.06002043078046128,-0.06002043078046128,424,437.5622016171226,404.6632294424659
REL607,0.061346608864302085,-0.061346608864302085,423,432.5547431887792,398.69925787475256
REL607,0.0627020894420969,-0.0627020894420969,421,427.60459007570006,392.82318398162965
REL607,0.06408751996546806,-0.06408751996546806,420,422.711086476304,387.03371231741886
REL607,0.06550356219176914,-0.06550356219176914,417,417.8735840939978,381.3295665288628
REL607,0.0669508925001765,-0.0669508925001765,415,413.0914420512884,375.70948907374026
REL607,0.06843020221476491,-0.06843020221476491,412,408.36402680488095,370.1722409436267
REL607,0.06994219793472167,-0.06994219793472167,406,403.69071206174493,364.71660139074106
REL607,0.071487601871857,-0.071487601871857,403,399.07087869614145,359.34136765881965
REL607,0.07306715219557204,-0.07306715219557204,401,394.50391466760317,354.04535471795214
REL607,0.0746816033854488,-0.0746816033854488,396,389.98921493984767,348.82739500333184
REL607,0.07633172659163069,-0.07633172659163069,392,385.5261814006241,343.6863381578512
REL607,0.07801831000316634,-0.07801831000316634,390,381.1142227824736,338.62105077849355
REL607,0.07974215922449152,-0.07974215922449152,388,376.7527545843962,333.6304161664612
REL607,0.08150409766022985,-0.08150409766022985,384,372.4411989944182,328.7133340809884
REL607,0.08330496690849597,-0.08330496690849597,380,368.1789848130415,323.8687204967778
REL607,0.08514562716288879,-0.08514562716288879,378,363.96554737756946,319.0955073650196
REL607,0.08702695762336701,-0.08702695762336701,374,359.8003284873025,314.39264237792344
REL607,0.08894985691620291,-0.08894985691620291,372,355.68277632958376,309.75908873672984
REL607,0.09091524352321548,-0.09091524352321548,371,351.61234540669835,305.1938249231335
REL607,0.09292405622048769,-0.09292405622048769,368,347.58849646360113,300.6958444740793
REL607,0.09497725452677712,-0.09497725452677712,360,343.6106964164777,296.2641557598765
REL607,0.09707581916183444,-0.09707581916183444,356,339.6784182821215,291.8977817655825
REL607,0.09922075251484909,-0.09922075251484909,352,335.79114110811753,287.59575987560964
REL607,0.10141307912324497,-0.10141307912324497,346,331.9483499038253,283.3571416615053
REL607,0.10365384616205542,-0.10365384616205542,344,328.1495355721544,279.18099267286067
REL607,0.10594412394411153,-0.10594412394411153,339,324.39419484211635,275.0663922313008
REL607,0.10828500643128176,-0.10828500643128176,337,320.6818302021532,271.01243322751077
REL607,0.11067761175700826,-0.11067761175700826,333,317.0119498342239,267.01822192125303
REL607,0.11312308276038811,-0.11312308276038811,328,313.38406754865116,263.08287774433387
REL607,0.11562258753205626,-0.11562258753205626,322,309.7977027197067,259.2055331064696
REL607,0.1181773199721289,-0.1181773199721289,318,306.25238022194065,255.38533320402004
REL607,0.12078850036047596,-0.12078850036047596,312,302.7476303672341,251.6214358315349
REL607,0.12345737593959305,-0.12345737593959305,311,299.28298884257623,247.91301119608156
REL607,0.12618522151035305,-0.12618522151035305,309,295.8579966485495,244.25924173430764
REL607,0.1289733400409202,-0.1289733400409202,305,292.4722000385239,240.65932193220016
REL607,0.1318230632891195,-0.1318230632891195,302,289.1251504585409,237.112458147501
REL607,0.13473575243855665,-0.13473575243855665,298,285.81640448788994,233.61786843473976
REL607,0.13771279874879377,-0.13771279874879377,296,282.54552378036453,230.17478237284507
