background,x,s,tail_count,common_mu_fit_count,individual_mu_fit_count
Ara-3,0.019825287287926586,-0.019825287287926586,702,700.890113967822,699.8807877254413
Ara-3,0.020176252388715517,-0.020176252388715517,699,694.4424978725928,695.4439813383759
Ara-3,0.02053343058998481,-0.02053343058998481,694,688.0541945747385,691.0353015283813
Ara-3,0.020896931881637992,-0.020896931881637992,690,681.7246584450083,686.6545699905525
Ara-3,0.02126686820071898,-0.02126686820071898,687,675.4533488734968,682.3016095503284
Ara-3,0.021643353465882118,-0.021643353465882118,681,669.2397302234651,677.9762441563215
Ara-3,0.022026503612472412,-0.022026503612472412,678,663.0832717855981,673.6782988732008
Ara-3,0.02241643662822685,-0.02241643662822685,675,656.9834477326676,669.4075998746157
Ara-3,0.022813272589607633,-0.022813272589607633,667,650.9397370746303,665.1639744361661
Ara-3,0.023217133698778706,-0.023217133698778706,663,644.9516236141243,660.9472509284165
Ara-3,0.023628144321236846,-0.023628144321236846,656,639.0185959023802,656.7572588099539
Ara-3,0.02404643102410891,-0.02404643102410891,650,633.1401471955409,652.5938286204934
Ara-3,0.024472122615127125,-0.024472122615127125,648,627.3157754113773,648.4567919740198
Ara-3,0.02490535018229423,-0.02490535018229423,646,621.5449830864068,644.3459815519813
Ara-3,0.025346247134250932,-0.025346247134250932,640,615.8272773334036,640.2612310965205
Ara-3,0.025794949241357907,-0.025794949241357907,637,610.1621697993025,636.2023754037505
Ara-3,0.026251594677505093,-0.026251594677505093,632,604.5491766234876,632.1692503170751
Ara-3,0.02671632406266118,-0.02671632406266118,628,598.9878183964635,628.161692720547
Ara-3,0.027189280506176233,-0.027189280506176233,627,593.4776201189107,624.1795405322722
Ara-3,0.02767060965085098,-0.02767060965085098,622,588.0181111611166,620.2226326978547
Ara-3,0.028160459717786277,-0.028160459717786277,617,582.6088252227756,616.2908091838823
Ara-3,0.028658981552026445,-0.028658981552026445,614,577.249300293164,612.383910971455
Ara-3,0.029166328669010762,-0.029166328669010762,609,571.9390786116801,608.5017800497527
Ara-3,0.029682657301847097,-0.029682657301847097,603,566.6777066287444,604.6442594096454
Ara-3,0.030208126449422605,-0.030208126449422605,601,561.4647349670628,600.8111930373422
Ara-3,0.030742897925366015,-0.030742897925366015,597,556.2997183832462,597.0024259080833
Ara-3,0.03128713640787672,-0.03128713640787672,592,551.1822157297794,593.2178039798677
Ara-3,0.03184100949043604,-0.03184100949043604,589,546.1117899173437,589.457174187224
Ara-3,0.03240468773341604,-0.03240468773341604,583,541.0880078774863,585.7203844350227
Ara-3,0.03297834471660228,-0.03297834471660228,580,536.1104405256286,582.0072835923181
Ara-3,0.033562157092646046,-0.033562157092646046,576,531.1786627244195,578.3177214862441
Ara-3,0.03415630464146305,-0.03415630464146305,574,526.2922532474252,574.6515488959345
Ara-3,0.03476097032559513,-0.03476097032559513,569,521.4507947431491,571.0086175464907
Ara-3,0.03537634034655181,-0.03537634034655181,567,516.653873699389,567.3887801029837
Ara-3,0.036002604202149624,-0.036002604202149624,563,511.901080407915,563.7918901644964
Ara-3,0.036639954744866185,-0.036639954744866185,558,507.1920089294799,560.2178022582017
Ara-3,0.037288588241227424,-0.037288588241227424,556,502.5262570591444,556.6663718334792
Ara-3,0.03794870443224625,-0.03794870443224625,554,497.90342629192577,553.1374552560683
Ara-3,0.038620506594930853,-0.038620506594930853,548,493.3231217887627,549.6309098022617
Ara-3,0.03930420160488233,-0.03930420160488233,544,488.7849523427888,546.1465936531293
Ara-3,0.04,-0.04,541,484.2885303459227,542.6843658887849
Ara-4,0.01,-0.01,841,908.8512011607081,841.2108738668155
Ara-4,0.010177029011328716,-0.010177029011328716,830,900.4905130642561,835.1059172408678
Ara-4,0.010357191949742633,-0.010357191949742633,826,892.20673646372,829.0452663848087
Ara-4,0.010540544294843095,-0.010540544294843095,822,883.9991638362089,823.0285997564274
Ara-4,0.010727142508381356,-0.010727142508381356,816,875.8670941674668,817.0555981470557
Ara-4,0.010917044051645456,-0.010917044051645456,811,867.8098328919931,811.1259446646337
Ara-4,0.011110307403154938,-0.011110307403154938,804,859.8266918337224,805.2393247168965
Ara-4,0.011306992076668802,-0.011306992076668802,799,851.9169891472477,799.395425994681
