background,x,s,tail_count,individual_fit_count,common_fit_count
Ara-3,0.022813272589607633,-0.022813272589607633,667,665.1639744361661,650.9397370746303
Ara-3,0.023217133698778706,-0.023217133698778706,663,660.9472509284165,644.9516236141243
Ara-3,0.023628144321236846,-0.023628144321236846,656,656.7572588099539,639.0185959023802
Ara-3,0.02404643102410891,-0.02404643102410891,650,652.5938286204934,633.1401471955409
Ara-3,0.024472122615127125,-0.024472122615127125,648,648.4567919740198,627.3157754113773
Ara-3,0.02490535018229423,-0.02490535018229423,646,644.3459815519813,621.5449830864068
Ara-3,0.025346247134250932,-0.025346247134250932,640,640.2612310965205,615.8272773334036
Ara-3,0.025794949241357907,-0.025794949241357907,637,636.2023754037505,610.1621697993025
Ara-3,0.026251594677505093,-0.026251594677505093,632,632.1692503170751,604.5491766234876
Ara-3,0.02671632406266118,-0.02671632406266118,628,628.161692720547,598.9878183964635
Ara-3,0.027189280506176233,-0.027189280506176233,627,624.1795405322722,593.4776201189107
Ara-3,0.02767060965085098,-0.02767060965085098,622,620.2226326978547,588.0181111611166
Ara-3,0.028160459717786277,-0.028160459717786277,617,616.2908091838823,582.6088252227756
Ara-3,0.028658981552026445,-0.028658981552026445,614,612.383910971455,577.249300293164
Ara-3,0.029166328669010762,-0.029166328669010762,609,608.5017800497527,571.9390786116801
Ara-3,0.029682657301847097,-0.029682657301847097,603,604.6442594096454,566.6777066287444
Ara-3,0.030208126449422605,-0.030208126449422605,601,600.8111930373422,561.4647349670628
Ara-3,0.030742897925366015,-0.030742897925366015,597,597.0024259080833,556.2997183832462
Ara-3,0.03128713640787672,-0.03128713640787672,592,593.2178039798677,551.1822157297794
Ara-3,0.03184100949043604,-0.03184100949043604,589,589.457174187224,546.1117899173437
Ara-3,0.03240468773341604,-0.03240468773341604,583,585.7203844350227,541.0880078774863
Ara-3,0.03297834471660228,-0.03297834471660228,580,582.0072835923181,536.1104405256286
Ara-3,0.033562157092646046,-0.033562157092646046,576,578.3177214862441,531.1786627244195
Ara-3,0.03415630464146305,-0.03415630464146305,574,574.6515488959345,526.2922532474252
Ara-3,0.03476097032559513,-0.03476097032559513,569,571.0086175464907,521.4507947431491
Ara-3,0.03537634034655181,-0.03537634034655181,567,567.3887801029837,516.653873699389
Ara-3,0.036002604202149624,-0.036002604202149624,563,563.7918901644964,511.901080407915
Ara-3,0.036639954744866185,-0.036639954744866185,558,560.2178022582017,507.1920089294799
Ara-3,0.037288588241227424,-0.037288588241227424,556,556.6663718334792,502.5262570591444
Ara-3,0.03794870443224625,-0.03794870443224625,554,553.1374552560683,497.90342629192577
Ara-3,0.038620506594930853,-0.038620506594930853,548,549.6309098022617,493.3231217887627
Ara-3,0.03930420160488233,-0.03930420160488233,544,546.1465936531293,488.7849523427888
Ara-3,0.04,-0.04,541,542.6843658887849,484.2885303459227
Ara-4,0.01,-0.01,841,841.2108738668155,908.8512011607081
Ara-4,0.010177029011328716,-0.010177029011328716,830,835.1059172408678,900.4905130642561
Ara-4,0.010357191949742633,-0.010357191949742633,826,829.0452663848087,892.20673646372
Ara-4,0.010540544294843095,-0.010540544294843095,822,823.0285997564274,883.9991638362089
Ara-4,0.010727142508381356,-0.010727142508381356,816,817.0555981470557,875.8670941674668
Ara-4,0.010917044051645456,-0.010917044051645456,811,811.1259446646337,867.8098328919931
Ara-4,0.011110307403154938,-0.011110307403154938,804,805.2393247168965,859.8266918337224
Ara-4,0.011306992076668802,-0.011306992076668802,799,799.395425994681,851.9169891472477
