experiment,background,x,s,tail_count,fitted_tail_count,requested_x_max
MNO,L,0.012110385497428178,-0.012110385497428178,212,283.2924038060227,0.15
MNO,L,0.01244622585127269,-0.01244622585127269,210,268.7694997366199,0.15
MNO,L,0.012791379595124008,-0.012791379595124008,203,254.99110819129217,0.15
MNO,L,0.013146105004178756,-0.013146105004178756,196,241.919061948398,0.15
MNO,L,0.013510667516017707,-0.013510667516017707,187,229.51715041799804,0.15
MNO,L,0.013885339929230195,-0.013885339929230195,176,217.75101933569144,0.15
MNO,L,0.014270402607546603,-0.014270402607546603,168,206.58807559861756,0.15
MNO,L,0.014666143689631882,-0.014666143689631882,159,195.9973969800136,0.15
MNO,L,0.015072859304696847,-0.015072859304696847,156,185.94964647222926,0.15
MNO,L,0.015490853794088858,-0.015490853794088858,149,176.4169910209212,0.15
MNO,L,0.01592043993902744,-0.01592043993902744,142,167.37302442531862,0.15
MNO,L,0.016361939194655492,-0.016361939194655492,139,158.79269419098168,0.15
MNO,L,0.016815681930580976,-0.016815681930580976,136,150.65223213243388,0.15
MNO,L,0.017282007678089375,-0.017282007678089375,127,142.9290885334303,0.15
MNO,L,0.017761265384211574,-0.017761265384211574,125,135.6018696824809,0.15
MNO,L,0.018253813672837616,-0.018253813672837616,122,128.65027861059724,0.15
MNO,L,0.018760021113071398,-0.018760021113071398,116,122.05505886710198,0.15
MNO,L,0.019280266495027436,-0.019280266495027436,111,115.79794117775518,0.15
MNO,L,0.019814939113275754,-0.019814939113275754,110,109.86159283743586,0.15
MNO,L,0.02036443905814729,-0.02036443905814729,106,104.22956969719536,0.15
MNO,L,0.020929177515117598,-0.020929177515117598,99,98.88627061267742,0.15
MNO,L,0.021509577072492906,-0.021509577072492906,95,93.81689422773094,0.15
MNO,L,0.022106072037628884,-0.022106072037628884,88,89.00739797349469,0.15
MNO,L,0.02271910876191863,-0.02271910876191863,85,84.4444591693841,0.15
